config_id,battery_type,num_motors,propeller_size,frame_size,radio_receiver,battery_capacity_mah,battery_weight_g,motor_thrust_per_g,total_thrust_g,total_weight_g,thrust_to_weight_ratio,payload_capacity_g,flight_time_min,power_consumption_w,max_speed_kmh,stability_score,crash_probability,drone_cost_usd
CFG-0031,LiPo 6S 8000mAh,6,"7""",550mm Heavy,ExpressLRS 900,8000,1050,1000,6000,2186,2.745,3814,20.89,447.78,57.03,90.79,0.2903,592.48
CFG-0032,LiPo 3S 2200mAh,3,"12""",220mm Mini,DJI FPV Receiver,2200,180,800,2400,569,4.218,1831,22.75,60.16,70.53,60.23,0.5266,247.52
CFG-0033,LiPo 3S 2200mAh,3,"12""",220mm Mini,FrSky R-XSR,2200,180,800,2400,559,4.293,1841,28.1,58.79,74.37,58.05,0.4924,199.36
CFG-0034,LiPo 3S 2200mAh,8,"9""",550mm Heavy,TBS Crossfire,2200,180,1100,8800,1639,5.369,7161,5.94,300.68,32.58,92.74,0.2977,640.64
CFG-0035,LiPo 4S 3000mAh,8,"9""",330mm Medium,ExpressLRS 900,3000,320,1100,8800,1406,6.259,7394,10.9,246.34,53.53,91.17,0.2627,556.64
CFG-0036,LiPo 3S 2200mAh,3,"9""",330mm Medium,DJI FPV Receiver,2200,180,800,2400,669,3.587,1731,16.17,77.63,71.06,58.45,0.4925,264.32
CFG-0037,LiPo 6S 8000mAh,8,"7""",450mm Standard,FrSky R-XSR,8000,1050,1100,8800,2236,3.936,6564,19.74,495.29,65.81,83.25,0.2788,666.4
CFG-0038,LiPo 6S 4000mAh,6,"9""",450mm Standard,DJI FPV Receiver,4000,680,1000,6000,1640,3.659,4360,16.68,280.17,77.03,78.75,0.3918,534.24
CFG-0039,LiPo 4S 3000mAh,6,"7""",220mm Mini,TBS Crossfire,3000,320,1000,6000,959,6.257,5041,16.74,153.42,93.03,76.82,0.3464,379.68
CFG-0040,LiPo 3S 2200mAh,8,"5""",550mm Heavy,DJI FPV Receiver,2200,180,1100,8800,1564,5.627,7236,4.05,355.67,45.6,82.08,0.3335,607.04
CFG-0041,LiPo 4S 5000mAh,6,"12""",550mm Heavy,DJI FPV Receiver,5000,520,1000,6000,1760,3.409,4240,15.14,293.75,35.65,87.79,0.2433,592.48
CFG-0042,LiPo 4S 5000mAh,8,"7""",450mm Standard,TBS Crossfire,5000,520,1100,8800,1711,5.143,7089,13.45,349.76,55.67,84.15,0.2854,616.0
CFG-0043,LiPo 3S 2200mAh,6,"7""",550mm Heavy,TBS Crossfire,2200,180,1000,6000,1319,4.549,4681,6.59,232.18,45.71,92.65,0.237,474.88
CFG-0044,LiPo 6S 8000mAh,4,"5""",450mm Standard,ExpressLRS 900,8000,1050,900,3600,1734,2.076,1866,29.3,350.63,85.69,68.8,0.5015,430.08
CFG-0045,LiPo 4S 3000mAh,4,"12""",220mm Mini,ExpressLRS 900,3000,320,900,3600,804,4.478,2796,26.4,98.23,69.23,76.64,0.3669,290.08
CFG-0046,LiPo 6S 8000mAh,8,"7""",550mm Heavy,ExpressLRS 900,8000,1050,1100,8800,2458,3.58,6342,23.8,560.15,54.34,95.17,0.2687,731.36
CFG-0047,LiPo 4S 3000mAh,3,"12""",550mm Heavy,DJI FPV Receiver,3000,320,800,2400,1209,1.985,1191,16.79,160.26,47.38,62.26,0.4817,387.52
CFG-0048,LiPo 3S 2200mAh,3,"9""",450mm Standard,FrSky R-XSR,2200,180,800,2400,809,2.967,1591,16.45,99.38,59.4,61.58,0.5105,249.76
CFG-0049,LiPo 6S 8000mAh,3,"12""",450mm Standard,TBS Crossfire,8000,1050,800,2400,1714,1.4,686,41.51,252.28,58.44,56.81,0.658,443.52
CFG-0050,LiPo 4S 3000mAh,4,"7""",450mm Standard,FrSky R-XSR,3000,320,900,3600,1018,3.536,2582,20.28,153.52,77.17,75.34,0.3648,306.88
CFG-0051,LiPo 6S 4000mAh,3,"5""",220mm Mini,FrSky R-XSR,4000,680,800,2400,999,2.402,1401,29.09,164.36,158.12,56.14,0.5997,244.16
CFG-0052,LiPo 4S 5000mAh,8,"12""",330mm Medium,FrSky R-XSR,5000,520,1100,8800,1684,5.226,7116,13.9,297.92,45.35,88.56,0.2444,617.12
CFG-0053,LiPo 3S 2200mAh,6,"5""",330mm Medium,FrSky R-XSR,2200,180,1000,6000,920,6.522,5080,8.33,166.12,85.21,71.87,0.3674,340.48
CFG-0054,LiPo 4S 5000mAh,3,"12""",550mm Heavy,FrSky R-XSR,5000,520,800,2400,1399,1.716,1001,23.4,193.74,40.46,55.1,0.6146,369.6
CFG-0055,LiPo 6S 8000mAh,3,"9""",550mm Heavy,FrSky R-XSR,8000,1050,800,2400,1899,1.264,501,33.2,301.34,58.41,54.93,0.7084,440.16
CFG-0056,LiPo 6S 4000mAh,3,"7""",330mm Medium,DJI FPV Receiver,4000,680,800,2400,1151,2.085,1249,30.9,172.89,114.4,48.03,0.5844,332.64
CFG-0057,LiPo 3S 2200mAh,4,"9""",330mm Medium,TBS Crossfire,2200,180,900,3600,757,4.756,2843,17.16,94.96,63.35,75.11,0.4285,301.28
CFG-0058,LiPo 4S 5000mAh,3,"12""",330mm Medium,ExpressLRS 900,5000,520,800,2400,1031,2.328,1369,35.37,130.29,59.24,64.12,0.4256,300.16
CFG-0059,LiPo 6S 8000mAh,4,"12""",330mm Medium,TBS Crossfire,8000,1050,900,3600,1667,2.16,1933,43.32,253.46,65.59,71.16,0.4363,463.68
CFG-0060,LiPo 4S 5000mAh,3,"12""",330mm Medium,FrSky R-XSR,5000,520,800,2400,1029,2.332,1371,32.0,129.96,57.26,56.19,0.5501,285.6
CFG-0061,LiPo 4S 3000mAh,8,"5""",550mm Heavy,FrSky R-XSR,3000,320,1100,8800,1694,5.195,7106,7.09,394.57,55.28,83.54,0.2729,581.28
CFG-0062,LiPo 6S 4000mAh,3,"7""",450mm Standard,FrSky R-XSR,4000,680,800,2400,1291,1.859,1109,25.49,200.71,95.37,56.65,0.5498,318.08
CFG-0063,LiPo 4S 5000mAh,8,"7""",550mm Heavy,DJI FPV Receiver,5000,520,1100,8800,1936,4.545,6864,10.64,410.7,46.72,80.89,0.3573,677.6
CFG-0064,LiPo 6S 4000mAh,8,"7""",550mm Heavy,TBS Crossfire,4000,680,1100,8800,2091,4.209,6709,10.6,453.95,59.13,85.27,0.2586,692.16
CFG-0065,LiPo 4S 5000mAh,4,"9""",220mm Mini,FrSky R-XSR,5000,520,900,3600,962,3.742,2638,35.67,129.67,78.24,67.4,0.458,283.36
CFG-0066,LiPo 4S 5000mAh,3,"7""",330mm Medium,ExpressLRS 900,5000,520,800,2400,983,2.442,1417,32.64,140.83,89.2,65.02,0.4529,273.28
CFG-0067,LiPo 4S 3000mAh,6,"5""",220mm Mini,ExpressLRS 900,3000,320,1000,6000,932,6.438,5068,17.87,168.95,106.09,81.52,0.3201,343.84
CFG-0068,LiPo 4S 5000mAh,3,"7""",450mm Standard,FrSky R-XSR,5000,520,800,2400,1131,2.122,1269,26.1,168.99,75.65,50.19,0.5578,292.32
CFG-0069,LiPo 6S 4000mAh,3,"5""",450mm Standard,FrSky R-XSR,4000,680,800,2400,1279,1.876,1121,23.52,226.61,112.56,49.16,0.6652,311.36
CFG-0070,LiPo 3S 2200mAh,4,"5""",450mm Standard,FrSky R-XSR,2200,180,900,3600,862,4.176,2738,8.31,141.33,75.03,74.93,0.4372,275.52
CFG-0071,LiPo 6S 4000mAh,6,"12""",450mm Standard,TBS Crossfire,4000,680,1000,6000,1695,3.54,4305,13.83,279.73,57.51,85.6,0.3224,556.64
CFG-0072,LiPo 3S 2200mAh,4,"12""",220mm Mini,TBS Crossfire,2200,180,900,3600,667,5.397,2933,18.64,77.05,66.19,76.84,0.4144,290.08
CFG-0073,LiPo 4S 3000mAh,6,"9""",450mm Standard,TBS Crossfire,3000,320,1000,6000,1275,4.706,4725,13.49,201.97,57.24,91.18,0.2911,467.04
CFG-0074,LiPo 4S 5000mAh,6,"9""",330mm Medium,DJI FPV Receiver,5000,520,1000,6000,1330,4.511,4670,17.77,213.37,65.21,79.31,0.3605,474.88
CFG-0075,LiPo 4S 3000mAh,6,"5""",220mm Mini,FrSky R-XSR,3000,320,1000,6000,930,6.452,5070,13.26,168.47,107.42,74.65,0.3766,329.28
CFG-0076,LiPo 6S 8000mAh,4,"5""",330mm Medium,ExpressLRS 900,8000,1050,900,3600,1584,2.273,2016,31.46,311.72,105.57,62.7,0.5588,396.48
CFG-0077,LiPo 4S 5000mAh,4,"12""",550mm Heavy,DJI FPV Receiver,5000,520,900,3600,1512,2.381,2088,19.12,223.26,35.38,71.27,0.4443,471.52
CFG-0078,LiPo 6S 8000mAh,8,"7""",220mm Mini,TBS Crossfire,8000,1050,1100,8800,1961,4.488,6839,26.44,417.61,80.93,78.66,0.2924,636.16
CFG-0079,LiPo 6S 8000mAh,4,"5""",220mm Mini,FrSky R-XSR,8000,1050,900,3600,1452,2.479,2148,39.46,278.38,117.36,60.17,0.4658,348.32
CFG-0080,LiPo 4S 5000mAh,3,"7""",220mm Mini,ExpressLRS 900,5000,520,800,2400,853,2.814,1547,36.86,117.11,100.7,63.3,0.4637,239.68
CFG-0081,LiPo 3S 2200mAh,8,"5""",450mm Standard,FrSky R-XSR,2200,180,1100,8800,1334,6.597,7466,5.1,289.23,55.47,81.64,0.3219,508.48
CFG-0082,LiPo 6S 4000mAh,6,"7""",550mm Heavy,TBS Crossfire,4000,680,1000,6000,1819,3.299,4181,16.39,352.61,66.03,86.34,0.3192,553.28
CFG-0083,LiPo 6S 4000mAh,3,"7""",330mm Medium,TBS Crossfire,4000,680,800,2400,1146,2.094,1254,28.58,171.91,115.17,54.17,0.4917,321.44
CFG-0084,LiPo 4S 3000mAh,6,"5""",220mm Mini,ExpressLRS 900,3000,320,1000,6000,932,6.438,5068,15.88,168.95,104.81,78.39,0.299,343.84
CFG-0085,LiPo 3S 2200mAh,8,"7""",450mm Standard,FrSky R-XSR,2200,180,1100,8800,1366,6.442,7434,4.3,261.0,47.15,90.87,0.2833,526.4
CFG-0086,LiPo 3S 2200mAh,8,"9""",330mm Medium,FrSky R-XSR,2200,180,1100,8800,1264,6.962,7536,7.9,214.5,45.29,78.85,0.3667,519.68
CFG-0087,LiPo 4S 5000mAh,3,"7""",220mm Mini,FrSky R-XSR,5000,520,800,2400,851,2.82,1549,37.49,116.75,99.5,55.33,0.5139,225.12
CFG-0088,LiPo 6S 4000mAh,4,"9""",330mm Medium,TBS Crossfire,4000,680,900,3600,1257,2.864,2343,30.22,183.58,93.13,81.13,0.3209,379.68
CFG-0089,LiPo 3S 2200mAh,4,"9""",450mm Standard,DJI FPV Receiver,2200,180,900,3600,912,3.947,2688,13.97,120.97,53.57,72.62,0.4204,346.08
CFG-0090,LiPo 6S 4000mAh,3,"12""",450mm Standard,FrSky R-XSR,4000,680,800,2400,1339,1.792,1061,26.83,183.01,72.0,50.66,0.6385,344.96
CFG-0091,LiPo 6S 4000mAh,3,"9""",450mm Standard,FrSky R-XSR,4000,680,800,2400,1309,1.833,1091,27.56,185.78,77.61,59.68,0.632,328.16
CFG-0092,LiPo 4S 3000mAh,3,"12""",330mm Medium,DJI FPV Receiver,3000,320,800,2400,839,2.861,1561,27.98,99.67,64.89,64.09,0.5236,303.52
CFG-0093,LiPo 4S 5000mAh,4,"9""",220mm Mini,FrSky R-XSR,5000,520,900,3600,962,3.742,2638,34.8,129.67,78.16,70.36,0.4074,283.36
CFG-0094,LiPo 6S 4000mAh,8,"5""",550mm Heavy,ExpressLRS 900,4000,680,1100,8800,2056,4.28,6744,9.61,507.54,72.9,89.29,0.2432,651.84
CFG-0095,LiPo 6S 8000mAh,6,"9""",330mm Medium,TBS Crossfire,8000,1050,1000,6000,1855,3.235,4145,31.99,328.83,70.98,89.23,0.2894,551.04
CFG-0096,LiPo 4S 5000mAh,3,"7""",220mm Mini,ExpressLRS 900,5000,520,800,2400,853,2.814,1547,40.91,117.11,95.32,60.0,0.4355,239.68
CFG-0097,LiPo 4S 3000mAh,4,"5""",550mm Heavy,DJI FPV Receiver,3000,320,900,3600,1232,2.922,2368,10.52,224.84,70.84,72.97,0.4147,396.48
CFG-0098,LiPo 4S 3000mAh,8,"12""",450mm Standard,ExpressLRS 900,3000,320,1100,8800,1636,5.379,7164,10.23,286.93,46.76,93.7,0.2291,635.04
CFG-0099,LiPo 3S 2200mAh,3,"5""",220mm Mini,ExpressLRS 900,2200,180,800,2400,501,4.79,1899,24.13,67.01,116.48,62.46,0.5127,180.32
CFG-0100,LiPo 6S 8000mAh,6,"9""",550mm Heavy,FrSky R-XSR,8000,1050,1000,6000,2220,2.703,3780,25.25,415.32,47.87,79.54,0.3523,598.08
CFG-0101,LiPo 6S 4000mAh,8,"5""",330mm Medium,ExpressLRS 900,4000,680,1100,8800,1686,5.219,7114,15.67,392.15,101.05,81.6,0.3312,567.84
CFG-0102,LiPo 6S 8000mAh,8,"9""",330mm Medium,TBS Crossfire,8000,1050,1100,8800,2139,4.114,6661,23.3,425.04,59.67,82.06,0.292,696.64
CFG-0103,LiPo 4S 5000mAh,8,"7""",220mm Mini,DJI FPV Receiver,5000,520,1100,8800,1436,6.128,7364,19.61,278.52,70.32,78.83,0.3721,560.0
CFG-0104,LiPo 6S 4000mAh,3,"12""",220mm Mini,DJI FPV Receiver,4000,680,800,2400,1069,2.245,1331,40.82,136.56,96.15,51.46,0.5638,325.92
CFG-0105,LiPo 4S 5000mAh,3,"7""",550mm Heavy,FrSky R-XSR,5000,520,800,2400,1351,1.776,1049,20.72,212.92,59.97,60.63,0.5657,342.72
CFG-0106,LiPo 6S 8000mAh,6,"5""",220mm Mini,FrSky R-XSR,8000,1050,1000,6000,1660,3.614,4340,30.71,357.81,104.95,70.75,0.4203,446.88
CFG-0107,LiPo 6S 4000mAh,3,"7""",450mm Standard,TBS Crossfire,4000,680,800,2400,1296,1.852,1104,24.48,201.72,94.11,55.26,0.6563,355.04
CFG-0108,LiPo 4S 5000mAh,6,"12""",450mm Standard,ExpressLRS 900,5000,520,1000,6000,1532,3.916,4468,18.81,245.28,37.41,93.27,0.1948,508.48
CFG-0109,LiPo 4S 5000mAh,4,"7""",550mm Heavy,TBS Crossfire,5000,520,900,3600,1443,2.495,2157,16.85,241.62,56.45,71.8,0.3951,424.48
CFG-0110,LiPo 6S 8000mAh,8,"5""",450mm Standard,FrSky R-XSR,8000,1050,1100,8800,2204,3.993,6596,17.87,555.54,69.13,85.8,0.2718,648.48
CFG-0111,LiPo 6S 8000mAh,3,"5""",220mm Mini,TBS Crossfire,8000,1050,800,2400,1374,1.747,1026,43.3,248.74,126.64,51.09,0.5842,342.72
CFG-0112,LiPo 4S 3000mAh,4,"7""",550mm Heavy,FrSky R-XSR,3000,320,900,3600,1238,2.908,2362,15.32,197.98,55.15,73.3,0.3743,357.28
CFG-0113,LiPo 6S 8000mAh,6,"9""",450mm Standard,DJI FPV Receiver,8000,1050,1000,6000,2010,2.985,3990,29.97,364.99,59.67,86.45,0.2846,595.84
CFG-0114,LiPo 6S 4000mAh,8,"7""",450mm Standard,FrSky R-XSR,4000,680,1100,8800,1866,4.716,6934,15.44,391.5,67.86,81.44,0.2964,604.8
CFG-0115,LiPo 6S 8000mAh,8,"7""",220mm Mini,ExpressLRS 900,8000,1050,1100,8800,1958,4.494,6842,27.01,416.78,83.14,90.65,0.2622,613.76
CFG-0116,LiPo 4S 5000mAh,8,"12""",330mm Medium,DJI FPV Receiver,5000,520,1100,8800,1694,5.195,7106,15.14,300.22,42.43,88.84,0.2194,665.28
CFG-0117,LiPo 6S 8000mAh,4,"9""",450mm Standard,DJI FPV Receiver,8000,1050,900,3600,1782,2.02,1818,37.22,288.99,64.46,67.62,0.4552,486.08
CFG-0118,LiPo 6S 8000mAh,6,"12""",220mm Mini,DJI FPV Receiver,8000,1050,1000,6000,1790,3.352,4210,36.28,300.28,65.28,73.4,0.4339,562.24
CFG-0119,LiPo 4S 3000mAh,6,"9""",450mm Standard,DJI FPV Receiver,3000,320,1000,6000,1280,4.688,4720,12.41,203.0,59.98,80.47,0.3795,478.24
CFG-0120,LiPo 6S 8000mAh,8,"9""",550mm Heavy,TBS Crossfire,8000,1050,1100,8800,2509,3.507,6291,19.56,523.01,47.12,90.74,0.288,780.64
CFG-0121,LiPo 3S 2200mAh,4,"9""",220mm Mini,TBS Crossfire,2200,180,900,3600,627,5.742,2973,21.02,74.33,80.98,70.02,0.3977,267.68
CFG-0122,LiPo 4S 5000mAh,4,"12""",330mm Medium,TBS Crossfire,5000,520,900,3600,1137,3.166,2463,29.25,154.13,57.72,80.75,0.3487,376.32
CFG-0123,LiPo 6S 8000mAh,4,"12""",220mm Mini,TBS Crossfire,8000,1050,900,3600,1537,2.342,2063,46.5,228.07,70.47,73.76,0.3845,430.08
CFG-0124,LiPo 6S 8000mAh,4,"7""",220mm Mini,ExpressLRS 900,8000,1050,900,3600,1470,2.449,2130,45.48,247.52,107.8,66.98,0.4622,371.84
CFG-0125,LiPo 6S 8000mAh,3,"7""",220mm Mini,DJI FPV Receiver,8000,1050,800,2400,1391,1.725,1009,47.56,221.15,111.76,46.87,0.6547,360.64
CFG-0126,LiPo 3S 2200mAh,6,"5""",550mm Heavy,ExpressLRS 900,2200,180,1000,6000,1292,4.644,4708,4.75,258.31,46.51,84.48,0.2419,439.04
CFG-0127,LiPo 3S 2200mAh,6,"9""",550mm Heavy,ExpressLRS 900,2200,180,1000,6000,1352,4.438,4648,6.53,217.97,38.97,85.59,0.2818,472.64
CFG-0128,LiPo 6S 4000mAh,6,"9""",550mm Heavy,ExpressLRS 900,4000,680,1000,6000,1852,3.24,4148,16.8,328.14,55.6,84.49,0.2819,551.04
CFG-0129,LiPo 3S 2200mAh,3,"5""",220mm Mini,ExpressLRS 900,2200,180,800,2400,501,4.79,1899,20.45,67.01,122.18,66.46,0.4224,180.32
CFG-0130,LiPo 3S 2200mAh,3,"5""",330mm Medium,FrSky R-XSR,2200,180,800,2400,629,3.816,1771,14.29,90.07,94.22,62.69,0.4824,199.36
CFG-0131,LiPo 6S 8000mAh,3,"9""",220mm Mini,TBS Crossfire,8000,1050,800,2400,1404,1.709,996,52.43,203.49,92.15,52.0,0.646,359.52
CFG-0132,LiPo 4S 5000mAh,4,"5""",220mm Mini,TBS Crossfire,5000,520,900,3600,927,3.883,2673,29.81,155.34,108.21,71.84,0.3928,297.92
CFG-0133,LiPo 4S 3000mAh,6,"9""",220mm Mini,TBS Crossfire,3000,320,1000,6000,995,6.03,5005,20.24,146.32,70.07,85.14,0.3424,399.84
CFG-0134,LiPo 4S 5000mAh,8,"12""",220mm Mini,TBS Crossfire,5000,520,1100,8800,1559,5.645,7241,16.59,269.5,50.86,78.66,0.2931,620.48
CFG-0135,LiPo 3S 2200mAh,8,"5""",330mm Medium,FrSky R-XSR,2200,180,1100,8800,1184,7.432,7616,6.13,247.68,68.76,82.53,0.3044,474.88
CFG-0136,LiPo 4S 3000mAh,6,"9""",330mm Medium,TBS Crossfire,3000,320,1000,6000,1125,5.333,4875,16.59,171.64,66.95,87.77,0.2412,433.44
CFG-0137,LiPo 6S 8000mAh,4,"5""",550mm Heavy,FrSky R-XSR,8000,1050,900,3600,1952,1.844,1648,23.65,408.98,75.85,59.27,0.5481,465.92
CFG-0138,LiPo 6S 4000mAh,3,"5""",330mm Medium,FrSky R-XSR,4000,680,800,2400,1129,2.126,1271,27.2,192.69,129.13,47.74,0.5601,277.76
CFG-0139,LiPo 6S 8000mAh,3,"12""",220mm Mini,FrSky R-XSR,8000,1050,800,2400,1429,1.679,971,53.45,199.16,77.27,52.35,0.5738,339.36
CFG-0140,LiPo 6S 4000mAh,6,"7""",220mm Mini,FrSky R-XSR,4000,680,1000,6000,1314,4.566,4686,23.91,231.04,107.35,77.99,0.3584,398.72
CFG-0141,LiPo 4S 3000mAh,3,"9""",550mm Heavy,DJI FPV Receiver,3000,320,800,2400,1179,2.036,1221,18.18,162.16,59.73,52.5,0.5655,370.72
CFG-0142,LiPo 4S 3000mAh,3,"7""",220mm Mini,FrSky R-XSR,3000,320,800,2400,651,3.687,1749,33.1,82.42,121.21,58.79,0.4501,194.88
CFG-0143,LiPo 6S 4000mAh,4,"5""",220mm Mini,ExpressLRS 900,4000,680,900,3600,1084,3.321,2516,30.12,190.38,143.98,71.0,0.4272,301.28
CFG-0144,LiPo 4S 5000mAh,4,"5""",550mm Heavy,FrSky R-XSR,5000,520,900,3600,1422,2.532,2178,19.92,270.93,65.88,66.05,0.4562,378.56
CFG-0145,LiPo 3S 2200mAh,8,"9""",450mm Standard,DJI FPV Receiver,2200,180,1100,8800,1424,6.18,7376,4.94,250.45,39.41,86.87,0.2681,601.44
CFG-0146,LiPo 4S 5000mAh,6,"7""",550mm Heavy,DJI FPV Receiver,5000,520,1000,6000,1664,3.606,4336,12.07,314.06,47.1,82.15,0.3872,538.72
CFG-0147,LiPo 6S 8000mAh,8,"12""",220mm Mini,DJI FPV Receiver,8000,1050,1100,8800,2094,4.202,6706,21.72,395.48,54.33,84.52,0.3094,719.04
CFG-0148,LiPo 4S 3000mAh,8,"9""",220mm Mini,FrSky R-XSR,3000,320,1100,8800,1274,6.907,7526,12.53,216.71,71.1,78.97,0.3638,508.48
CFG-0149,LiPo 4S 5000mAh,6,"12""",220mm Mini,FrSky R-XSR,5000,520,1000,6000,1250,4.8,4750,24.34,188.28,58.84,80.93,0.3869,426.72
CFG-0150,LiPo 6S 4000mAh,6,"5""",450mm Standard,FrSky R-XSR,4000,680,1000,6000,1570,3.822,4430,15.76,332.79,97.06,82.37,0.2809,452.48
CFG-0151,LiPo 4S 3000mAh,8,"7""",330mm Medium,FrSky R-XSR,3000,320,1100,8800,1356,6.49,7444,9.97,258.52,67.74,83.95,0.2408,515.2
CFG-0152,LiPo 3S 2200mAh,3,"5""",550mm Heavy,ExpressLRS 900,2200,180,800,2400,1001,2.398,1399,8.56,164.79,61.13,67.79,0.4256,297.92
CFG-0153,LiPo 6S 4000mAh,8,"9""",330mm Medium,FrSky R-XSR,4000,680,1100,8800,1764,4.989,7036,15.44,330.83,72.52,86.32,0.2396,598.08
